guid_oks,full_name,tip_oks,vid_stoi,f_name,sost_oks,stad_oks,sost_zem,name_tep,znach_tep,tep_oks,address_oks,region,mun_obr,latit_oks,longit_oks,create_date,zpo_n,zpo_k,ird_n,ird_k,pir_st,pir_fn,smr_st,smr_fn,plan_vvod,rol_org,zak_inn,zak_kpp,resp_mail
6c26ac3c-e831-4028-9da9-f1c2f4f1382c,«Реконструкция автодороги «д.о. «Карагайский бор» - граница с Республикой Башкортостан»,Линейный объект,Реконструкция линейных объектов,04.01.001.003 Обычная автомобильная дорога (нескоростная автомобильная дорога) вне населенного пункта,ПИР,Гос. Экспертиза ПД и результатов ИИ,"Свободна, передана",Протяженность линейного ОКС,20,км,автодорога «д.о. «Карагайский бор» - граница с Республикой Башкортостан»,Челябинская область,Верхнеуральский муниципальный район,"54,128585","59,523564",27.09.2024,09.07.2022,17.04.2023,15.06.2022,02.08.2023,24.04.2023,05.09.2025,24.10.2025,10.10.2026,10.10.2026,Заказчик,7429009860,745501001,myyiois@mail.ru
e63db5aa-94a5-402c-96ca-158180c7bd5a,"Футбольный манеж для ОГАУ ОСШ по футболу г. Челябинск, в том числе проектно-изыскательские работы","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН","03.04.002.004 Сооружение спортивной площадки, манежа",ИРД,Выдача ЗОС,"Свободна, передана",Посетители,300,чел,Фактический адрес не задан,Челябинская область,Челябинский,"55,162096","61,396338",30.09.2024,24.06.2022,17.11.2023,04.06.2024,02.10.2025,10.10.2025,16.12.2025,25.12.2025,23.12.2027,02.05.2028,Заказчик,7453167233,745301001,abaimova.dv@mail.ru
b63f16a9-386b-47c1-8aff-5e081e8a5ac5,"Строительство школы по адресу: г. Копейск, ул. Северная на 500 мест","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.03.002.003 Здание средней школы,СМР,СМР,"Свободна, передана",количество мест,500,мест,"Копейск, ул. Северная, 36",Челябинская область,Копейский,"55,113817","61,622515",30.09.2024,16.03.2023,16.03.2023,21.02.2022,21.02.2022,21.02.2022,15.04.2024,01.01.2025,31.12.2026,01.03.2027,Заказчик,7411015020,743001001,bologov.anatol@mail.ru
bb7512ce-dcdb-4b0a-979a-d4f4352d4d0d,"24-103579Э Выполнение строительно-монтажных работ по объекту: ""Строительство школы в микрорайоне №48 жилого района №11 Краснопольской площадки №1 в Курчатовском районе г. Челябинска""","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.03.002.003 Здание средней школы,СМР,СМР,"Свободна, передана",площадь застройки,"7128,8",м2,микрорайон № 48,Челябинская область,Челябинский,"55,214237","61,529057",30.09.2024,13.05.2022,13.04.2023,06.12.2023,10.02.2024,17.02.2024,31.07.2024,07.03.2025,30.04.2026,30.04.2026,Заказчик,7453167233,745301001,anastasiya-starostenko@mail.ru
cc031b5f-c32e-4d59-8869-e20713b202a7,"Строительство Центра культурного развития по адресу: Россия, Челябинская область, г.Карабаш, ул. 23 годовщины Октября,11","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН","02.01.006. Центры культуры, искусств и творчества",СМР,СМР,"Свободна, передана",Посетители,80,чел,"г.Карабаш, ул. 23 годовщины Октября,11",Челябинская область,Карабашский,"55,488696","60,201545",30.09.2024,15.07.2022,27.10.2022,23.06.2022,22.11.2022,29.08.2023,01.03.2024,05.07.2024,30.04.2026,18.07.2026,Заказчик,7406001047,741301001,kgo_oks@list.ru
360ef8b7-37a9-45d2-97c0-5d1326bc91ff,"Физкультурно-спортивный комплекс по ул. Жданова, 26 в г. Копейске","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",03.04.002.002 Здание физкультурно-оздоровительного комплекса,СМР,СМР,"Свободна, передана",площадь застройки,3058,м2,"Копейск, ул. Жданова, 26",Челябинская область,Копейский,"55,113817","61,622515",30.09.2024,12.03.2020,12.03.2020,23.01.2020,25.12.2020,23.01.2020,18.07.2024,01.01.2025,30.04.2026,01.10.2026,Заказчик,7411015020,743001001,bologov.anatol@mail.ru
99395545-2e31-4c2f-a2f3-f84980d17abd,"Строительство сельского клуба с. Песчаное, ул. Центральная, 2 Увельского муниципального района","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.01.099.099 Прочие объекты,СМР,СМР,"Свободна, передана",Площадь объекта,"1365,4",м^2,"с. Песчаное, ул. Центральная, 25Б",Челябинская область,Увельский муниципальный район,"54,442365","61,358778",30.09.2024,01.01.2023,01.05.2023,01.06.2023,31.12.2023,01.01.2024,10.02.2025,10.03.2025,30.06.2026,30.08.2026,Заказчик,7440008229,742401001,uvel-komitet@mail.ru
7c302d4f-cf1b-48bc-ab6d-3c0772372985,"Строительство поликлиники для ГБУЗ ""Городская больница N 1 им. Г.К. Маврицкого г. Миасс"", в том числе проектно-изыскательские работы","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",03.01.001. Больницы общего профиля,ПИР,Подготовка ПД,"Свободна, передана",Посетители,1000,чел,г. Миасс,Челябинская область,Миасский,"55,049735","60,109395",30.09.2024,24.06.2024,24.05.2025,12.12.2023,17.04.2024,12.12.2023,31.12.2025,02.03.2026,31.12.2027,31.12.2027,Заказчик,7451383800,745101001,7514080@mail.ru
ab7312ab-2354-4987-8bdc-77efd7450d47,Строительство детского сада по ул.2-я Эльтонская в Тракторозаводском районе г. Челябинска (150 мест),"ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.03.001.001 Здание детского сада,ПИР,Подготовка ПД,"Свободна, передана",Вместимость,150,чел,ул.2-я Эльтонская,Челябинская область,Челябинский,"55,178154","61,529085",30.09.2024,07.06.2024,07.07.2024,05.08.2024,23.10.2024,28.10.2024,05.09.2025,01.10.2025,31.12.2025,23.01.2026,Заказчик,7453167233,745301001,oblstroy@minstroy.gov74.ru
1083df02-b9ad-471a-b284-da35cd4b20a6,Строительство детского сада № 2 в мкр. № 48 в Курчатовском районе г. Челябинска (140 мест),"ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.03.001.001 Здание детского сада,СМР,СМР,"Свободна, передана",Площадь застройки,"1229,10",м^2,Фактический адрес не задан,Челябинская область,Челябинский,"55,213765","61,296643",30.09.2024,25.06.2022,08.04.2023,05.06.2022,26.12.2023,15.11.2023,06.11.2024,03.11.2023,30.04.2026,27.10.2026,Заказчик,7453167233,745301001,anastasiya-starostenko@mail.ru
53fff44b-d934-4624-8bd5-def87b5b27f2,"Реконструкция общежития для ГБПОУ Челябинской области ""Миасский государственный колледж искусства и культуры"" по адресу: г. Миасс, ул. Орловская, 13а, в том числе проектно-изыскательские работы","ОКС, (за исключением линейных)","Реконструкция ОКС, не являющийся линейным или ОКН",02.04.001.002 Здание объекта среднего профессионального образования,ПИР,Гос. Экспертиза ПД,"Свободна, передана",Вместимость,600,чел,"г. Миасс, ул. Орловская, 13а",Челябинская область,Миасский,"55,049735","60,109395",30.09.2024,10.01.2022,10.03.2022,11.04.2022,15.09.2022,11.04.2022,01.09.2025,10.10.2025,31.12.2026,31.12.2026,Заказчик,7451383800,745101001,7514080@mail.ru
9b32ecd8-5abc-4bae-b8c8-58d00ff343ec,Лечебный корпус и водно-оздоровительный комплекс для ГБУЗ Челябинский областной центр для реабилитации,"ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",03.01.001.099 Прочие объекты,ПИР,Разработка Задания на проектирование,"Свободна, передана",Посетители,600,чел,г. Челябинск,Челябинская область,Челябинский,"55,162096","61,396338",30.09.2024,27.07.2022,19.12.2022,02.06.2022,22.02.2023,15.08.2023,05.09.2025,18.12.2025,17.12.2026,08.04.2027,Заказчик,7453167233,745301001,anastasiya-starostenko@mail.ru
48ce3679-f1e1-4c9f-8165-f0e596993a0f,"Дошкольное образовательное учреждение (ДОУ) на 120 мест по адресу: Челябинская область, Аргаяшский район, с Кулуево, ул. Школьная, 5А","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН","02. Образование, наука, культура, искусство и религия",СМР,СМР,"Свободна, передана",,,,,Челябинская область,Аргаяшский муниципальный район,"55,491273","60,878009",30.09.2024,10.07.2022,18.11.2022,06.06.2022,25.08.2023,25.10.2023,03.05.2024,03.12.2024,20.02.2026,23.02.2026,Заказчик,7426001905,746001001,dortrans@argayash.ru
d82ab572-f7af-4eef-82db-05fcbb56b5f6,Детский сад в 150 микрорайоне г. Магнитогорска Челябинской области на 230 мест (+котельная),"ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.03.001.001 Здание детского сада,СМР,СМР,"Свободна, передана",Посетители,230,чел,г.Магнитогорск,Челябинская область,Магнитогорский,"53,407158","58,982236",30.09.2024,10.07.2022,16.04.2023,12.06.2022,11.07.2023,05.09.2023,27.07.2024,11.11.2024,27.04.2026,01.09.2026,Заказчик,7414006673,745501001,maxi-mil@mail.ru
da8f1162-52a5-41a4-8b68-bb7608e9e727,Детский сад в 144 микрорайоне г. Магнитогорска Челябинской области на 230 мест,"ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.03.001.001 Здание детского сада,СМР,СМР,"Свободна, передана",Посетители,230,чел,г.Магнитогорск,Челябинская область,Магнитогорский,"53,407158","58,982236",30.09.2024,26.07.2022,28.11.2022,10.06.2022,25.02.2023,13.09.2023,10.07.2024,20.07.2024,30.04.2026,30.04.2026,Заказчик,7414006673,745501001,maxi-mil@mail.ru
9a88f6b8-3c74-4589-a37b-81436b019945,Разработка проектной-сметной документации по объекту: «Строительство общеобразовательной школы № 8 города Миасса»,"ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.03.002.003 Здание средней школы,ПИР,Подготовка ПД,"Свободна, передана",Площадь объекта,5000,м^2,г. Миасс,Челябинская область,Миасский,"55,403163","60,13807",01.11.2024,07.10.2024,31.12.2024,09.01.2025,07.04.2025,11.04.2025,31.12.2025,01.07.2026,07.10.2028,07.10.2028,Заказчик,7406001047,741301001,gkhkarabash@mail.ru
5bfff059-8722-4b51-a18c-705389afdfe8,"Инженерные изыскания и разработка проектно-сметной документации по объекту: ""Строительство ул. Жданова от пр. Славы до ул. Гастелло",Линейный объект,Строительство линейных объектов,"04.01.001.002 Дорога, улица в границах населенного пункта",ПИР,Подготовка ПД,"Свободна, передана",Протяженность линейного ОКС,2500,м,г. Копейск,Челябинская область,Копейский,"55,106753","61,606436",01.11.2024,10.10.2023,31.12.2023,10.01.2024,05.07.2024,06.08.2024,31.12.2025,06.05.2026,31.12.2028,31.12.2028,Заказчик,7411015060,743001001,mu_gsz@mail.ru
4bf0c3ac-24ae-4f8c-afd3-cd5e42723a07,Оказание услуг по выполнению инженерных изысканий и разработке проектно-сметной документации по объекту «Модульный бассейн в Северной части города Миасс Челябинской области»,"ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",03.04.003.005 Бассейн,ПИР,Подготовка ПД,"Свободна, передана",Посетители,50,чел,г. Миасс,Челябинская область,Миасский,"55,14256","60,149611",01.11.2024,10.06.2023,31.12.2023,10.04.2024,05.07.2024,05.08.2024,05.09.2025,01.01.2026,31.12.2028,01.01.2029,Заказчик,7415023657,741501001,shabalin.ov@miass.gov74.ru
6b6414e2-046a-4494-a7d2-32daaa3fd6f9,"Работы по восстановлению и усилению строительных конструкций здания поликлиники ГБУЗ ""Районная больница г.Катав-Ивановск"" в ходе капитального ремонта","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",03.01.001.002 Здание клинической больницы,СМР,СМР,"Свободна, передана",Посетители,1000,чел,г. Катав-Ивановск,Челябинская область,Катав-Ивановский муниципальный район,"54,741278","58,191819",18.11.2024,10.10.2023,31.12.2023,01.02.2024,06.07.2024,24.06.2024,31.12.2024,16.04.2025,30.07.2027,31.12.2027,Заказчик,7410005894,745701001,a.stepanov@katavivan.gov74.ru
2286a8ca-a4d4-42b8-a17d-231a63553fb8,24-106980Э Капитальный ремонт моста через реку Миасс по автомобильной дороге ул. Черкасской (восточный),Линейный объект,Капитальный ремонт линейных объектов,"04.06.001.001 Сооружение автодорожного моста, 04.06.001.001 Сооружение автодорожного моста",СМР,СМР,"Свободна, передана",Протяженность линейного ОКС,76,,Ул. Черкасская,Челябинская область,Челябинский,"55,235907","61,377838",11.12.2024,25.04.2024,30.01.2025,25.04.2024,03.06.2024,03.06.2024,10.07.2024,21.11.2024,30.06.2027,24.12.2027,Заказчик,7451227906,744801001,sdo-gti@mail.ru
eef599b1-7719-4575-a877-87f222eb6595,"Разработка проектной и рабочей документации по объекту: «Здание средней школы», расположенного по адресу г. Снежинск, микрорайон №20 (в т.ч. проектно - изыскательские работы)","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.03.002.003 Здание средней школы,ПИР,Подготовка ПД,Передана условно,Посетители,500,чел,г. Снежинск,Челябинская область,Снежинский,"54,741278","58,191819",31.01.2025,10.10.2023,31.12.2023,01.02.2024,06.07.2024,17.01.2025,31.08.2025,12.02.2026,10.10.2026,15.02.2027,Заказчик,7423015057,745901001,coys02@yandex.ru
f7b5c3f0-6494-46f6-9f7a-d474d2558ede,"Капитальный ремонт здания МОУ ""Миасская СОШ №2"", расположенного в селе Миасское Красноармейского района Челябинской области","ОКС, (за исключением линейных)","Капитальный ремонт ОКС, не являющийся линейным или ОКН",02.03.002. Объекты среднего образования,СМР,СМР приостановлены,Не передана,Полезная площадь ОКС,"5568,5",квадратный метр,"с. Миасское, ул. Школьная, 2А",Челябинская область,Красноармейский муниципальный район,"55,290367","61,889276",04.02.2025,01.02.2025,31.03.2025,15.04.2025,31.05.2025,04.06.2025,01.10.2025,06.02.2026,31.12.2026,01.01.2027,Заказчик,7430013766,743001001,upr0909@mail.ru
b920b1f5-1cc6-446f-9efd-15d2399f6bb7,"Строительство спального корпуса на 50 мест со спортзалом и спортивной площадкой на территории МКОУ СШИ № 8 г.Пласт, ул.Коминтерна, д.62","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",02.03.002. Объекты среднего образования,СМР,СМР,"Свободна, передана",Площадь застройки,"967,36",м^2,Улица Коминтерна д.62.,Челябинская область,Пластовский муниципальный округ,"54,367929","60,794624",12.03.2025,10.10.2023,31.12.2023,01.02.2024,06.07.2024,01.02.2024,10.09.2024,11.03.2025,31.12.2026,01.06.2027,Заказчик,7451471446,745101001,uez-plast@yandex.ru
91633e02-7b67-4375-ac9b-d37fea241ed8,Выполнение работ по реконструкции мостового перехода через реку Симок на 20 км автомобильной дороги Катав-Ивановск - Серпиевка - Аратское,Линейный объект,Реконструкция линейных объектов,04.01.001.003 Обычная автомобильная дорога (нескоростная автомобильная дорога) вне населенного пункта,СМР,СМР,Свободна,Протяженность линейного ОКС,"0,5",км,мостовой переход через реку Симок на км 20 автомобильной дороги Катав-Ивановск – Серпиевка – Аратское,Челябинская область,Катав-Ивановский муниципальный район,"54,790075","57,904976",18.03.2025,18.03.2016,18.04.2019,01.07.2021,01.08.2021,02.09.2021,15.04.2022,01.04.2025,30.04.2026,30.04.2026,Заказчик,7451384218,745101001,otdrazv@mindortrans74.ru
c603b3a0-285d-4e94-9b88-698b0ffe25d9,"Реконструкция стадиона МБУ ""спортивная школа г. Нязепетровска"", расположенный по адресу: Челябинская область, г. Нязепетровск, ул.  Клубная, д. 20","ОКС, (за исключением линейных)","Реконструкция ОКС, не являющийся линейным или ОКН","03.04.001. Стадионы, арены",СМР,СМР,"Свободна, передана",Площадь застройки,21177,м^2,"г. Нязепетровск, ул. Клубная, д. 20",Челябинская область,Нязепетровский муниципальный округ,"56,020906","59,596713",24.03.2025,10.02.2025,20.02.2025,20.04.2022,08.12.2023,20.04.2022,08.12.2023,01.04.2025,30.09.2027,31.12.2027,Заказчик,7402010570,745901001,sherstnev1982s@yandex.ru
ef671092-aa98-4d9b-85a0-0ceb4bb9abe3,"Капитальный ремонт покрытия проезжей части ул. Ленина, расположенной по адресу: Челябинская область, Уйский район,  с. Маслово",Линейный объект,Капитальный ремонт линейных объектов,04.01.001. Автомобильные дороги,СМР,Торги на Подрядчика на СМР,Свободна,Протяженность линейного ОКС,"0,668",Км.,"с. Маслово, ул. Ленина",Челябинская область,Уйский муниципальный район,"54,466407","60,027197",26.03.2025,28.02.2023,05.08.2023,10.09.2023,03.03.2024,01.05.2024,26.12.2024,17.03.2025,25.02.2026,26.02.2026,Заказчик,7441002710,741501001,arhitektura74525@mail.ru
88ac05f8-bbdb-4527-afb7-e20f5e62e977,"Капитальный ремонт покрытия проезжей части улиц Молодежная и Труда, переулков от улицы Ленина до улицы Юбилейная,36 и до улицы Юбилейная,30",Линейный объект,Капитальный ремонт линейных объектов,04.01.001. Автомобильные дороги,СМР,Торги на Подрядчика на СМР,Свободна,Протяженность линейного ОКС,"0,896",Км.,"с. Кидыш, ул. Труда",Челябинская область,Уйский муниципальный район,"54,151765","60,084896",26.03.2025,28.02.2023,05.08.2023,10.09.2023,03.03.2024,01.05.2024,26.12.2024,01.05.2025,31.12.2025,20.02.2026,Заказчик,7441002710,741501001,arhitektura74525@mail.ru
253910b3-98fb-4c72-ac35-c45270314b69,Строительство мостового перехода через реку Бия на км 268+001 автомобильной дороги Бирск Башкортостана - Тастуба Башкортостана - Сатка,Линейный объект,Строительство линейных объектов,04.01.001.003 Обычная автомобильная дорога (нескоростная автомобильная дорога) вне населенного пункта,СМР,СМР,Свободна,Протяженность линейного ОКС,"0,15",км,мостового перехода через реку Бия на км 268+001 автомобильной дороги Бирск Башкортостана - Тастуба Башкортостана - Сатка,Челябинская область,Саткинский муниципальный округ,"55,149686","58,841565",28.03.2025,19.09.2018,02.03.2019,01.04.2020,01.05.2020,10.06.2020,23.03.2021,01.04.2025,01.04.2026,01.04.2026,Заказчик,7451384218,745101001,otdrazv@mindortrans74.ru
e26520f0-21c6-4b68-a727-f8b34b86cd10,"«Реконструкция газовой котельной №2 в с.Варламово», расположенного по адресу Челябинская область, Чебаркульский район, с.Варламово, ул. Сейфуллиной 13 А","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН",12.01.001.002 Здание котельной,СМР,СМР,"Свободна, передана",Полезная площадь ОКС,"270,86",м3,"с.Варламово, ул. Сейфуллиной 13 А",Челябинская область,Чебаркульский муниципальный район,"54,621149","60,662614",31.03.2025,28.02.2023,05.08.2023,10.09.2023,03.03.2024,01.05.2024,11.12.2024,07.04.2025,31.12.2025,15.02.2026,Заказчик,7442003000,741501001,ku-zubenko@mail.ru
41c37c3e-a174-4b88-ab60-ad4ded19760e,"Капитальный ремонт автомобильной дороги по ул.Братьев Кашириных от ул. Чичерина до ул. Северо-Крымской""",Линейный объект,Капитальный ремонт линейных объектов,"04.01.001.002 Дорога, улица в границах населенного пункта, 04.01.001.002 Дорога, улица в границах населенного пункта",СМР,Передача Строительной площадки Подрядчику/Генеральному Подрядчику,Передана условно,Протяженность линейного ОКС,3.6 км,,ул. Братьев Кашириных,Челябинская область,Челябинский,"55,17341","61,304702",14.05.2025,01.01.2025,31.01.2025,03.02.2025,31.03.2025,01.04.2025,20.08.2025,01.05.2025,31.08.2026,31.12.2026,Заказчик,7451227906,744801001,buylo@mail.ru
1c5e9f0a-28ae-4e89-aa69-e264ddfd23b3,"Капитальный ремонт стрелкового тира, расположенного по адресу: Челябинская область, г. Снежинск, ул. 40 лет Октября, 35","ОКС, (за исключением линейных)","Строительство ОКС, не являющийся линейным или ОКН","03. Здравоохранение, спорт, физическая культура, отдых и развлечения",СМР,Передача Строительной площадки Подрядчику/Генеральному Подрядчику,Не передана,Площадь застройки,1267,м^2,"Челябинская область, г. Снежинск, ул. 40 лет Октября, 35",Челябинская область,Снежинский,"56,085","60,7314",19.05.2025,28.02.2023,05.08.2023,10.09.2023,03.03.2024,01.05.2024,11.12.2024,12.05.2025,30.04.2026,30.04.2026,Заказчик,7423015057,745901001,coys02@yandex.ru
f2438a21-54e9-4a13-82aa-643dad3b39d0,Капитальный ремонт здания женской консультации ГАУЗ ОЗП «ГКБ № 8 г.Челябинск»,"ОКС, (за исключением линейных)","Капитальный ремонт ОКС, не являющийся линейным или ОКН",03.01.006.003 Здание женской консультации,СМР,СМР,Занята,"Капитальный ремонт здания женской консультации ГАУЗ ОЗП «ГКБ № 8 г. Челябинск по адресу: г. Челябинск, ул. Котина, 37а","2393,89",м.кв.,"г. Челябинск, ул. Котина, 37а",Челябинская область,Челябинский,"55,173905","61,433563",22.05.2025,28.02.2023,05.08.2023,10.09.2023,03.03.2024,01.05.2024,01.12.2024,24.01.2025,24.02.2026,03.03.2026,Заказчик,7452000312,745201001,hoz@chelgkb8.ru
